"current_question_number","mapping_source_file","mapping_source_number","mapping_confidence","mapping_status","option_mapping","mapping_reason","proposed_question","proposed_A","proposed_B","proposed_C","proposed_D","proposed_E","proposed_F","current_answer","chinese_answer","proposed_answer","change_type","answer_analysis_risk","agent_notes"
"54","第三章.docx","121","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which metric provides senior management with useful information about the effectiveness of a financial institution's AML controls?","The number of money laundering alerts generated by the watchlist screening system.","The number of clients exited for commercial reasons.","The number of high-risk customers onboarded each month.","The ratio of true positives to false positives generated by the automated monitoring system.","","","D","D","D","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"55","第三章.docx","122","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","In order to demonstrate commitment to AML compliance within a bank, the Board of Directors should?","Monitor the fulfilment of AML compliance duties within the bank.","Keep senior management apprised of key developments in the AML regime and the impact of applicable laws and legislations","Ensure senior management maintains accountability for the effectiveness of the AML program implementation","Establish a written AML policy that contains the basic principles to be followed by staff from the top down","","","D","D","D","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"56","第三章.docx","123","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Before opening a correspondent account for an offshore bank, the relationship manager obtains the bank's AML policies, procedures, and legal documents; confirms that no third party can access the account; and identifies the bank's owners, principal business activities, and business address. According to the Basel Committee, which two additional steps should the bank take? (Choose two.)","Conduct on-site inspection and personally meet all responsible persons and beneficial owners.","Verify that the bank actually exists in the country where it is incorporated.","Confirm that the Bank is supervised by the regulatory authorities and has formulated adequate anti-money laundering laws.","Obtain and maintain a complete list of correspondent bank customers, including politicians.","","","BC","BC","BC","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"57","第三章.docx","124","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","The Basel Committee on Banking Supervision issued an October 2001 paper establishing a know-your-customer framework. To whom did its recommended standards apply?","Offshore banking supervisors","Financial Intelligence Units","Banks in all countries","European financial institutions","","","C","C","C","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"58","第三章.docx","125","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","A small private bank's board has asked management to waive identification requirements for high-net-worth individuals to protect their privacy. Which FATF Recommendation should be of greatest concern to an AML specialist?","Financial institutions should not warn their customers when information relating to them is being reported to the competent authorities.","Financial institutions should not keep anonymous accounts.","Financial institutions should maintain all necessary suspicious transaction report records on transactions, both domestic are international, for at least 5 years.","If financial institutions suspect that funds stem from criminal activity, they should be required to close the account.","","","B","B","B","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"59","第三章.docx","127","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","According to the guidelines of the Basel Committee on Banking Supervision, which of the following statements best describes the relationship between the internal audit function and compliance?","Internal audit methods should include compliance risk assessment","Internal audit procedures should be established to review the adequacy of the bank's compliance function, but should not include a review of transactions","Compliance function and audit function should be combined","Auditors should not discuss problems found in internal audit with compliance managers to maintain the independence of compliance","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"60","第三章.docx","26","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","With which of the following should an anti-money laundering officer coordinate when implementing a new hire screening program?","Internal auditor","Local financial intelligence unit","Human resources","Institution's regulator","","","C","C","C","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"61","第三章.docx","27","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","A high volume of incoming wire transfers generates an alert about a client. The funds are immediately debited by cash withdrawals and outgoing wire transfers. Which information should be reviewed first to investigate this alert/case?","Open-source information","Adverse media search","Customer profile","Account activity","","","C","C","C","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"62","第三章.docx","28","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","According to the Basel Committee, what four key elements should a KYC program contain?","Customer onboarding, sanction monitoring, customer acceptance, customer due diligence","Customer identification, risk assessment, customer screening, monitoring","Customer onboarding, risk monitoring, customer acceptance, enhanced due diligence","Customer identification, risk management, customer acceptance, monitoring","","","D","D","D","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"63","第三章.docx","30","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","When performing an investigation, which key steps should be taken to maintain and secure supporting documentation used to perform an investigation of a suspicious activity?","Disseminate the rationale for the investigative approach and the objective basis for the determination.","Perform the alerting transaction with alternative thresholds to ensure they are calibrated correctly.","Ensure that a secure archive has information available to the client.","Maintain a record of the transaction activity that generated the alert.","","","D","D","D","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"64","第三章.docx","31","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which are essential elements of a KYC program identified by the Basel Committee on Banking Supervision? (Choose two.)","Risk appetite","Code of conduct","Risk management","Internal control","Customer acceptance policy","","CE","CE","CE","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"65","第三章.docx","32","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","According to the Basel Committee's Customer Due Diligence for Banks, inadequate KYC programs can expose banks to which risks?","Outsourcing, legal, centralized, reputation","Credit, operation, market, concentration","Legal, reputation, operations, concentration","Security, Information, Local, Business","","","C","C","C","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"66","第三章.docx","33","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What does the Basel Committee's Customer Due Diligence for Banks paper suggest that a bank needs to have in place when establishing an account for a corporate business entity?","An understanding of the structure of the company","A policy requiring all identified beneficial owners to undergo a national police check","A process to ensure that the approval of senior management is obtained prior to opening the account","A fee structure that reflects the banks' costs in monitoring the risks associated with entity's business activities","","","A","A","A","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"67","第三章.docx","34","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which risk-mitigation measure does the Basel Committee recommend when a bank accepts business from a non-face-to-face customer?","Certification of documents presented","Requiring an in person interview with the customer","Imposing a limit on permissible account activity for a defined period of time","Requiring additional review of account opening documents by senior management","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"68","第三章.docx","35","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which activity associated with new or developing technologies does the FATF recommend FIs pay special attention to?","Financial intermediaries performing transactions for customers","High volumes of cash transactions","Complex or unusually large transactions","Non-face to face business relationships or transactions","","","D","D","D","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"69","第三章.docx","36","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What is the appropriate compliance control for identifying politically exposed persons (PEPs) according to the Basel Committee's paper on Customer Due Diligence for Banks?","Determining that a local figure is a PEP","Reviewing when a relationship is established","Reviewing relationships at account opening and on a periodic basis","Requiring that the customer discloses that they are a PEP or an associate of a PEP","","","C","C","C","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"70","第三章.docx","39","高","已确认","A→A; B→B; C→C; D→D; E→E; F→F","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","According to the Basel Committee on Banking Supervision standards, which statements best describe sound practices in relation to customer due diligence (CDD) policies and procedures? (Choose three.)","Banks should identify its customers based on a general- rules based assessment without considering the expected size and use of the account.","Banks should never allow for verification to be completed after the establishment of the business relationship since it would not be essential for the normal conduct of business.","Banks should take into consideration the occasional banking transaction or the size/level of assets to build an understanding of the customer's profile and behavior.","Banks should develop and implement clear acceptance policies and procedures to identify the types of customer that are likely to pose a higher risk of financing terrorism or money laundering.","Banks should implement enhanced due diligence measures for entering business relationships with high-risk customers, such as approval by senior management.","Banks should use CDD procedures based in another bank's standards when subject to the same criteria for handling funds of a shared customer.","CDE","CDE","CDE","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"71","第三章.docx","42","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which key factor would result in the decision for a financial institution (FI) to exit a client relationship?","After assessing all risk factors the level of residual client risk exceeds the FI's risk appetite.","The client is a registered charity known to remit funds to high-risk geographies where there is limited due diligence information available.","Closing the client accounts will help reduce the number of transaction monitoring alerts.","Client transactions generate ongoing transaction monitoring alerts that did not result in any SAR/STR filings.","","","A","A","A","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"72","第三章.docx","40","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","The compliance officer for a private bank has been tasked with reviewing the procedure for authorized signatories on customer accounts to ensure it is in line with relevant Wolfsberg Anti-Money Laundering Principles for Private Banking. Which three statements from the procedure are in line with Wolfsberg? (Choose three.)","Where the Authorized Signatory is not a lawyer or accountant, due diligence as to the source of funds and wealth of the Authorized Signatory should be undertaken.","The responsible private banker must establish the identity of a holder of general powers over an account (e.g. a signatory for the account) and, as appropriate, verify that identity.","Where due diligence has been satisfactorily completed on all authorized signers, the responsible private banker may reduce the due diligence performed on the account holder and/or beneficial owner.","The responsible private banker must obtain the necessary documentation establishing the authorized signer's authority to act on behalf of the account holder or beneficial owner (e.g. a Power of Attorney).","If an individual has signing authority over an account but does not act on a professional basis as a manager of funds, the responsible private banker must understand and document the relationship between that authorized signer, the account holder, and, if different, the beneficial owner of the account.","","BDE","BDE","BDE","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"73","第三章.docx","37","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","A politically exposed person (PEP) maintains an account at a bank. Last month a money laundering analyst filed a suspicious transaction report about unusual wire deposits originated by unknown individuals in the home country of the official. Recently a negative news search revealed political corruption in the home country of the official.To whom should this situation be escalated?","The board of directors","The line of business executive","The bank's anti-money laundering officer","The Financial Action Task Force's PEP Hotline","","","C","C","C","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"74","第三章.docx","38","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","A bank operates in multiple countries and offers a variety of products and services. The compliance officer recently joined the bank and wants to better understand the inherent level of anti-money laundering risk across the entire organization. Which two factors should be considered? (Choose two.)","The Transaction Monitoring program","The Customer Due Diligence program","Countries that the bank operates in","Products and services offered by the bank","","","CD","CD","CD","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"75","第三章.docx","41","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","A bank is preparing for its anti-money laundering independent review, which is performed every two years under the direction of the compliance officer. The bank's corporate audit department will conduct the review. The compliance officer will review the final report before it is released to the Board of Directors. What is the issue with this situation?","Independent reviews must be performed annually","The review must be performed by a group outside of the bank","The final report must be presented directly to the board of directors","There is a conflict of interest with the management of the review process","","","D","D","D","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"76","第三章.docx","43","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Under the Wolfsberg Anti-Money Laundering Principles for Private Banking, which two types of customers may be beneficial owners? (Choose two.)","The person authorized to sign the account","A person with a legal title who can control a client's shares.","The person who has the ultimate control over the account or fund","The person who is the ultimate source of funds for the account and should conduct due diligence on the source of wealth.","","","CD","CD","CD","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"77","第三章.docx","44","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Who meets the independence and competence requirements to perform an AML audit? (Choose two.)","Qualified bank staff if not involved in the AML function being tested.","An internal auditor with the requisite knowledge and expertise of AML.","An internal auditor with a family member employed in the AML department.","A consultant with limited knowledge and experience in AML but many years of internal audit experience.","A consultant previously employed in the AML department within the past two years.","","BE","BE","BE","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"78","第三章.docx","186","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","According to the Financial Action Task Force 40 Recommendations, simplified customer due diligence or reduced measures could be acceptable for which of the following types of products or transactions? (Choose three.)","Life insurance policies where the annual premium is no more than USD/EUR 1,000 or a single premium of no more than USD/EUR 2,500.","Trusts where the settlor, trustee and beneficiaries are identified and the shares are in bearer form.","Insurance policies for pension schemes if there is no surrender clause and the policy cannot be used as collateral.","Pension benefits for employees","","","ACD","ACD","ACD","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"79","第三章.docx","45","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which is a key aspect of the first EU Directive on Money Laundering?","It extended the scope beyond drug-related crimes.","It established drug trafficking as a predicate offense of money laundering.","It expanded the definition of criminal activity to all serious crimes.","It defined money laundering as a separate crime.","","","B","B","B","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"80","第三章.docx","46","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which two statements are true regarding the European Union Money Laundering Directives? (Choose two.)","They apply to member states of the European Union","They require member states to enact laws and/or regulations to comply with the directives","They set forth non-binding best practices for financial institutions within the member states","They have extraterritorial impact and apply to states that have diplomatic relations with member states","","","AB","AB","AB","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"81","第三章.docx","47","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which three definitions of money laundering are included in the expanded definition of the European Union Second Directive? (Choose three.)","The creation of shell companies to disguise the identity of its owners","The conversion or transfer of property with knowledge that it is derived from criminal activity","The acquisition or use of property knowing, when it was received, that it was derived from criminal activity","The transfer of cash in excess of 15,000 euros across country borders regardless of whatever the cash was derived from criminal activity","Concealing or disguising the nature, source, location, disposition, movement, rights with respect to, or ownership of property, knowing that the property is derived from criminal activity","","BCE","BCE","BCE","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"82","第三章.docx","146","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","In relationship to life insurance business, the third European Directive states that Member States may allow the identity verification of the beneficiary under the policy after the business relationship has been established, but before which events?","At or before a premium payment has been accepted for the policy purchased","At or before the policy is issued to the beneficiary by the insurance company","At or before the time of payout or before the beneficiary intends to exercise rights vested under the policy","At or before 30 days of the relationship being established under the policy","","","C","C","C","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"83","第三章.docx","147","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which three entities does the Third European Union Money Laundering Directive apply to? (Choose three.)","Financial institutions","Defense Attorneys","Casino","Real Estate Agents","","","ACD","ACD","ACD","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"84","第三章.docx","185","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","After receiving a suspicious activity report about a customer's account, the relevant law enforcement agencies requested permission to interview bank staff who are familiar with basic transactions. What measures should the compliance officer take?","The compliance officer shall consult with the bank's legal adviser, cooperate as much as possible and agree to interview.","The Commissioner shall refuse all such interviews before a grand jury is established or a formal order is issued by the court.","The Commissioner should only allow employees who are willing to interview law enforcement agencies to do so.","The Commissioner can only allow employees to be interviewed after they have obtained immunity from law enforcement agencies.","","","A","A","A","选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"85","第三章.docx","148","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Under the Fourth EU Anti-Money Laundering Directive, what cash transaction threshold applies to persons trading in goods?","EUR 5,000","EUR 10,000","EUR 15,000","EUR 20,000","","","B","B","B","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"86","第三章.docx","150","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","A teacher opens a private banking account, reports annual income of EUR 45,000 and an inheritance of EUR 1.5 million, and plans to invest EUR 12,000 to EUR 15,000 annually from bearer bonds. During a review, the bank identifies several incoming transfers exceeding EUR 5 million from a diamond distributor, each followed by an immediate transfer to Hong Kong. What should the AML specialist recommend?","Arrange a meeting between the customer and legal department.","Contact the competent authority and local law enforcement.","Suspend further customer transactions through the bank.","Investigate the source and purpose of the transaction","","","B","B","B","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"87","第三章.docx","151","高","已确认","A→A; B→B; C→C; D→D; E→E; F→F","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which three factors should be considered when assigning a customer risk rating? (Choose three.)","Employment risk","Geographic risk","Customer risk","Credit risk","Fraud risk","Product risk","BCF","BCF","BCF","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"88","第三章.docx","48","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Release of the EU's Fourth AML Directive resulted in what change to member state's procedures? (Choose two.)","Knowledge of criminal conduct could be inferred from objective factual circumstances.","Money laundering and terrorist financing were defined as separate crimes, expanding the directive's measures.","The threshold for reporting suspicious transactions decreased from 15,000 EUR to 10,000 EUR.","The scope of obliged entities was enlarged from casinos to all providers of gambling services.","All financial institutions were required to identify and verify the beneficial owner of legal entities.","","CD","CD","CD","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"89","第三章.docx","49","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What is the currency threshold under the European Union Fourth Anti-Money Laundering Directive?","3,000 Euros","5,000 Euros","10,000 Euros","15,000 Euros","","","C","C","C","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"90","第三章.docx","50","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which requirement is included in the Fourth European Union Directive on money laundering?","It requires obliged entities to consider politically exposed persons as high risk for life","It requires obliged entities to conduct enhanced due diligence on all prepaid card holders","It requires member countries to maintain registries of the beneficial owners of legal entities","It requires member states to enact economic sanctions against countries that do not cooperate with Financial Action Task Force recommendations","","","C","C","C","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"91","第三章.docx","51","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","A large financial institution is considering expanding into a jurisdiction with weak AML laws. Its risk assessment shows that the expansion would exceed the institution's approved risk appetite. Which risk factor should the institution prioritize?","Geographic risks","Unknown third-party risks","Anonymous transactions risks","Cash-intensive businesses risks","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"92","第三章.docx","152","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which EU regulation requires art market participants to register with supervisory authorities and apply a risk-based approach to money laundering and terrorist financing risks?","Guide to Responsible Art Market in 2019","40 suggestions on organizing the financial action against money laundering","Anti-Money Laundering Act of 2020","The fifth eu money laundering prevention directive","","","D","D","D","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"93","第三章.docx","52","高","已确认","A→A; B→B; C→C; D→D; E→E; F→F","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","According to the 5th EU Money Laundering Directive, member states require entities to apply enhanced customer due diligence measures with respect to business relationships or transactions involving high-risk third country nationals. Which are included in these requirements? (Choose three.)","Obtaining the approval of senior management for establishing or continuing the business relationship","Obtaining copies of passports for all authorized persons","Establishing and verifying the address of the client","Obtaining information on the reasons for intended or performed transactions","Obtaining tax reference details for the client","Obtaining information on the source of funds and source of wealth of the customer and of the beneficial owner(s)","ADF","ADF","ADF","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"94","第三章.docx","54","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which are the requirements of the Fifth AML Directive of the European Union (EU)? (Choose two.)","Promoting the record keeping obligations of banks to the maximum amount of data necessary for the purposes of AML/CFT investigations.","Extending AML/CFT rules to entities that provide virtual currency services.","Broadening the criteria for assessing high-risk third countries.","Developing a variant approach in the strategy for the treatment of organized crime and terrorism threats.","Providing information access to Financial Intelligence Units (FIUs) according to the differences in the nature of their functions, competences and powers.","","BC","BC","BC","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"95","第三章.docx","53","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which statement best describes a key aspect of the AML Directive of the EU regarding business relationships and transactions with high-risk third countries?","Obliged entities should voluntarily consider the implementation of increased external audit requirements for branches and subsidiaries located in high-risk countries.","Obliged entities, in accordance with the member state regulations, should determine at a national level the measures that can be used for enhanced due diligence.","Obliged entities should implement additional mitigating measures complementary to the enhanced customer due diligence procedures, in accordance with a risk based approach.","Obliged entities should not take into account specific circumstances when performing enhanced due diligence measures.","","","C","C","C","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"96","第三章.docx","153","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","The EU's 6th Anti-Money Laundering Directive (6AMLD)?","Extended AML oversight to crowdfunding platforms and professional football clubs.","Eliminated the requirement for the European Commission to conduct a risk assessment.","Created a central EU watchdog to combat money laundering.","Strengthened provisions relating to the accuracy of data submitted to central beneficial ownership registries.","","","CD","CD","CD","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"97","第三章.docx","154","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","In international cooperation against money laundering, what does the principle of reciprocity mean?","A legal principle that allows a financial institution to share customer information with other financial institutions when referring customers to them.","A provision of the Basel Committee allows well-regulated financial institutions in other member countries of the Committee to operate in another country with the same rights without additional supervision.","A right to entrust the prosecution of a money laundering case to another member state that has launched an investigation into the same case.","A national legal principle that allows its authorities to cooperate with those of other countries within the scope permitted by law.","","","D","D","D","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"98","第三章.docx","187","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What is a key feature of FATF-Style Regional Bodies in combating money laundering and terrorist financing?","Emphasizing regional cooperation among member states.","Implementing regional mutual evaluation procedures.","Instruct each member state to translate FATF's recommendations into law.","Make FATF standards specific to each region.","","","B","B","B","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"99","第三章.docx","188","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","How does the Asian/Pacific Financial Action Task Force (FATF)-Style Regional Body help its members implement recommendations from the FATF? (Choose two.)","Promotes laws that allow judicial challenges to seizure orders by an administrative body","Requires members to maintain lists of regional money laundering and terrorists financing issues relevant to their region","Encourages cooperative AML efforts in the region","Facilitates the adoption and implementation of internationally accepted AML measures by member jurisdictions","Endorsed regulations that define money laundering based on the model laws issued by the respective member states","","CD","CD","CD","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"100","第三章.docx","189","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which is a key role of FATF-Style Regional Bodies (FSRBs)?","Support the system of mutual evaluation","Setting regional standards for combatting money laundering","Bring additional terrorist financing laws into action in the region","Enforce the specific FATF laws in the region","","","A","A","A","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
