current_question_number,mapping_source_file,mapping_source_number,mapping_confidence,mapping_status,option_mapping,mapping_reason,proposed_question,proposed_A,proposed_B,proposed_C,proposed_D,proposed_E,proposed_F,current_answer,chinese_answer,proposed_answer,change_type,answer_analysis_risk,agent_notes
52,第四章.docx,34,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"A compliance officer of a financial institution (FI) is reviewing an international wire transfer flagged by the system for incomplete beneficiary information. According to the Wolfsburg Group and Clearing House Associations' transparency standards, which should the compliance officer do first?",Confirm the beneficiary and account number,Request to obtain further information,Escalate to management,Verify the source of the funds involved,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
53,第四章.docx,35,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A financial institution receives a regulatory enforcement action because of deficiencies in its anti-money laundering program. Which action should the board of directors take?,Terminate the compliance officer and staff,Purchase and install a new suspicious activity monitoring system,Hire an attorney with instructions to protest the enforcement action,Instruct the compliance officer to develop a plan to remediate the institution's anti-money laundering program,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
54,第四章.docx,36,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A compliance officer identifies a potentially significant risk in a popular financial product. Further investigation reveals there is no mitigating control. Which course of action should the compliance officer take?,Launch a long-term project to remediate the control deficiency,Note the risk and address it during the next round of policy and procedure review,Immediately cease providing the product and only offer it after effective permanent mitigation is implemented,Implement a temporary mitigation plan that enables effective management of the risk until a permanent plan can be developed,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
55,第四章.docx,37,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,The branch manager calls the compliance officer and informs her that a law enforcement officer has just left the branch and was asking a lot of questions and left a business card. What should the compliance officer do?,File a suspicious transaction report,Follow up to verify that the officer received all necessary information,Verify that the reported officer was an actual authorized representative,Require the branch manager to write a detailed memo about the request,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
56,第四章.docx,151,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A compliance officer wants to report the effectiveness of the AML program to senior management. What is the best way to communicate the program's progress?,A design a report with indicators that can reflect the effectiveness of key elements of various plans.,Relying on regulatory inspection,provide a summary of all notified activities.,Provide detailed training on the obligation of senior management to prevent money laundering,,,A,A,A,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
57,第四章.docx,39,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A Money Laundering Reporting Officer's (MLRO's) failure to act resulted in deficiencies in the bank's AML program and a civil monetary penalty against the MLRO. Why was the MLRO held personally liable?,The MLRO is the only individual that can be held responsible for AML program deficiencies.,MLROs can be held to an individual accountability standard and face potential penalties for contributing to AML program deficiencies.,The MLRO agreed to the civil penalty so that the bank would not be found liable for the AML program deficiencies.,Action was brought against the MLRO because banks cannot be found liable for AML program deficiencies.,,,B,B,B,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
58,第四章.docx,38,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Who is ultimately responsible for an institution's AML/CFT program?,The AML audit committee,The AML/CFT Compliance Officer,The Chief Executive Officer (CEO),The Board of Directors,,,D,D,D,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
59,第四章.docx,152,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What responsibilities should senior management have for implementing a regulated entity's AML/CFT control framework?,"The senior management team must supervise all aspects of the control framework for preventing money laundering/combating the financing of terrorism, and make decisions on all issues related to compliance.","the senior management team must lay down the overall foundation, but the implementation should be carried out by employees.","the senior management team should set the overall policy stance and risk acceptance of the organization, and be fully responsible for the effectiveness of the control framework.",no responsibility. The compliance team shall be responsible for implementing the control framework for preventing money laundering/combating the financing of terrorism.,,,C,C,C,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
60,第四章.docx,153,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"On discovering employees had unintentionally provided assistance to customers who were structuring transactions, an anti-money laundering specialist should recommend",Beginning termination procedures for these employees.,Contacting law enforcement to monitor these employees.,Providing remedial training to these employees.,Transferring these employees to another branch.,,,C,C,C,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
61,第四章.docx,154,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which of the following should an anti-money laundering specialist consider the most serious deficiency when detected during a regulatory audit of the anti-money laundering program?,The compliance officer fails to have on-going meetings with upper management to keep them apprised of current money laundering trends.,The company's anti-money laundering manual has not been updated to reflect a recent internal control enhancement.,The company has failed to download the most recent regulation from the Financial Intelligence Unit web site.,The company has not implemented an anti-money laundering training program.,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
62,第四章.docx,155,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A key element required to ensure an anti-money laundering compliance program is effectively embedded into an institution's culture is,an internal audit.,ongoing training.,peer review.,a record retention policy.,,,B,B,B,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
63,第四章.docx,156,高,已确认,A→A; B→B; C→C; D→D; E→E; F→F,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"At a minimum, who should receive role-specific AML training?(Choose three.)",AML/Compliance staff,Consultants,Information technology staff,Human resources staff,Customer facing staff,Board of Directors,AEF,AEF,AEF,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
64,第四章.docx,40,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An AML training program should include which requirement?,New tellers should receive training after their first year on the identification of suspicious or unusual activity.,New lending staff should receive annual training on the preparation of currency transaction reporting.,New staff should receive training during employee orientation or shortly thereafter on bank procedures.,New operational staff should receive training shortly after hire on currency transaction reporting exemptions.,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
65,第四章.docx,41,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which activity would require an update to the first line training program?,The implementation of a new system that provides information for monitoring customer accounts.,The expansion to customer segments that will utilize newly established products.,The maintenance of regulatory requirements for onboarding documentation collections of a customer base.,The onboarding of a new customer type which was previously reviewed and risk rated.,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
66,第四章.docx,46,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,AML training programs should extend beyond basic concepts to deliver targeted training by:,"offering internal policies training, such as customer identification and verification procedures and policies.",offering periodic refresher training on AML bases (usually annually) for existing employees.,offering general background and history training pertaining to money laundering controls.,"offering appropriate training tailored to the individual's specific roles, like alerts investigators and SARs writers.",,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
67,第四章.docx,45,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,How can violations of anti-money laundering laws be a risk to individuals?,Violations can result in civil and criminal fines and penalties against the individuals.,Violations can result in additional legislation that the individuals have to comply with.,Violations can result in enforcement actions that damage the reputation of the individual's employer.,Violations can result in additional and more stringent anti-money laundering training for individuals.,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
68,第四章.docx,42,高,已确认,A→A; B→B; C→C; D→D; E→E; F→F,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which risks could an employee face for violations of AML/CFT laws and regulations? (Choose three.),Being designated as a Politically Exposed Person (PEP),Being named on a government sanctions list,Fines and imprisonment,Being placed on FATF greylist,Expulsion from the Wolfsberg Group,Loss of employment,BCF,BCF,BCF,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
69,第四章.docx,43,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,The findings of an internal audit discover that a large group of employees do not know how to handle Politically Exposed Persons (PEPs). Which is the next course of action that should be taken?,Create a company-wide training program.,Revamp the compliance program to better identify PEPs.,Ensure all new-hire individuals have in-depth knowledge of PEPs.,De-risk all PEPs from the financial institution (FI) to ensure compliance.,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
70,第四章.docx,44,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A director of a financial institution was convicted of laundering money as part of a Ponzi scheme and terminated. As a result of an internal investigation evidence proved that an employee assisted in the illegal activity. Which action should the institution take?,Discipline the employee with no further action,Discipline the employee and inform local authorities,"Since the employee was not charged, no further action is required",Require all employees to complete additional anti-money laundering training,,,B,B,B,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
71,第四章.docx,47,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A compliance officer provides an overview of the bank's anti-money laundering program to a group of new tellers during employee orientation. Which training element should be delivered to this audience?,Results of recent risk assessments,Large cash transaction reporting procedures,The financial institution's surprise cash audit policy,Past check fraud losses incurred by the financial institution,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
72,第四章.docx,48,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A retail bank has just acquired a credit card business. The bank's anti-money laundering policy requires that new employees are trained within 30 days of their hire date and refresher training is delivered to all employees on an annual basis. Is the bank's existing anti-money laundering training adequate to be delivered to employees of the newly acquired credit card business?,"Yes, the existing training covers the bank's policies, procedures, and processes.","No, anti-money laundering training needs to be delivered face-to-face for credit card businesses.","No, anti-money laundering training needs to be tailored and focused on the risks specific to the business.","Yes, the existing training covers the anti-money laundering regulations that the bank is required to follow.",,,C,C,C,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
73,第四章.docx,49,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Who has the day-to-day responsibility of communicating and reinforcing the established anti-money laundering compliance culture and program?,Business lines,Senior management,Board of directors,Compliance officer,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
74,第四章.docx,157,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What is the best way for a regulated entity to confirm that its AML/CFT compliance framework is effective?,Conduct strong due diligence on all customers.,Conduct company-wide risk assessment,Accept the two-way evaluation of the financial action organization to prevent money laundering.,Conduct an independent review,,,D,D,D,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
75,第四章.docx,158,中,待人工确认,A→A; B→B; C→C; D→D,中英文B选项语义不一致：英文为不参与AML计划，中文为参与AML计划。建议保留英文原意并核对权威原题。,"To ensure the independence of an AML program audit, how should the individuals conducting the audit be positioned?",Not involved in the organization's AML compliance program and reporting to the board of directors or one of its committees,Not involved in the organization's AML compliance program and reporting to the chief executive officer,Not involved in the organization's suspicious activity report filing process and reporting to the board of directors or one of its committees,Not involved in the organization's suspicious activity report filing process and reporting to the chief executive officer,,,A,A,A,机翻改写与专业润色,中英文B选项语义不一致：英文为不参与AML计划，中文为参与AML计划。建议保留英文原意并核对权威原题。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
76,第四章.docx,159,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What kind of person should perform the independent testing of an institution's anti-money laundering program?,A certified specialist in the anti-money laundering field,A former anti-money laundering officer from a similar institution,A person who reports directly to the Board of Directors or a Board Committee,A retired government regulator or federal law enforcement officer,,,C,C,C,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
77,第四章.docx,160,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,How should a compliance program respond to an AML audit finding?,By using the findings to identify and assess their money laundering risk,By closing the accounts that were subject to findings,By giving recommendations for each finding as part of an audit report,By nominating an independent party to implement the corrective action,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
78,第四章.docx,161,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,The regulators of a US financial institution find that the institution has failed to establish and maintain a reasonably designed AML program. Which regulatory actions should be taken? (Choose two.),Criminal penalties,Deferred prosecution agreement,Obtain additional license,Cease and desist order,Matter requiring attention,,DE,DE,DE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
79,第四章.docx,50,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"To ensure the independence of an audit for an AML/CFT program, those involved in the audit would best be described as being:",not involved in the organization's AML/CFT compliance program and having a reporting line to the organization's CEO.,not involved in the organization's STR/SAR filing process having a reporting line to the board of directors or committee thereof.,not involved in the organization's STR/SAR filing process and having a reporting line to the organization's CEO.,not involved in the organization's AML/CFT compliance program and having a reporting line to the board of directors or committee thereof.,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
80,第四章.docx,51,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"A recent anti-money laundering audit revealed several regulatory reporting violations and lapses with the organization's anti-money laundering policy. As a result, the compliance officer has created a follow-up matrix to document progress in correcting the identified deficiencies. To whom should the compliance officer provide regular updates of corrective action to help ensure the appropriate oversight?",Audit management,Human Resources,Business line managers,Designated board committee,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
81,第四章.docx,52,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An anti-money laundering audit identifies a significant weakness in how transaction monitoring alerts are cleared. Audit sampling identified potentially suspicious activity that was cleared as not suspicious. Management accepts the audit finding and develops a remediation plan. What is the role of the auditor during the correction phase?,Directing the remediation of the deficiency in a timely manner,Developing procedures to provide sufficient risk- based documentation for clearing alerts,Providing training to the alert clearing department on the importance of effective alert clearing,Validating the successful remediation of the issue once management indicates the issue is resolved,,,D,D,D,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
82,第四章.docx,53,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"As a result of an audit, a policy exception was identified that had been approved by the compliance officer. The auditor determined that the policy exception is a violation of a regulatory requirement. What should the auditor do?",Advise the compliance officer on how to appropriately respond to policy exceptions.,Include the regulatory violation in the audit report and report it to the board of directors.,Consult with legal counsel to determine if the approval of the policy exception was acceptable.,Include the regulatory violation in the audit report and recommend the compliance officer be subject to disciplinary action by the board of directors.,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
83,第四章.docx,162,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What are the most effective measures that can be taken to boost risk appetite awareness across an organization after a Risk Appetite Statement (RAS) has been set and a risk appetite framework has been drafted?(Choose three.),Integrate the unalignment with risk appetite into internal reporting procedures.,"Train all managers to understand the importance and benefits of ""good"" risk-taking.",Describe risk controls for business colleagues.,Embed the risk appetite into everyday processes and governance.,Provide training to staff to understand the role risk appetite and its limits play for the safe conduct of business.,,ADE,ADE,ADE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
84,第四章.docx,163,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"What are two purposes of a Risk Appetite Statement (RAS), and how does it relate to organizational controls? (Choose two.)",An RAS formalizes a risk appetite statement from management and informs the Board of Directors on the risk assessment performed.,"An RAS establishes a desired level of risk exposure in qualitative terms, covering all areas of compliance.",An RAS sets limits for risk-taking by means of quantitative and qualitative metrics so that the business does not take up risk in excess of the organization's risk tolerance.,"An RAS establishes a management-approved policy that identifies the organization's risk tolerances with strategic objectives, risk profile, and risk management capabilities.",An RAS sets limits in terms of residual risk and thus is strongly intertwined with the efficacy of the system of internal controls.,,CD,CD,CD,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。 与本章其他RAS题高度重复，已标注去重风险。
85,第四章.docx,164,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"AML/CFT departments often collect information about customer activities and product usage, which may be valuable to other departments in the organization. Before allowing AML/CFT departments to share this information internally, organizations must first review:",A applicable data privacy laws and the organization's data security and privacy policies to determine whether there are restrictions.,Enterprise-wide risk assessment and employee handbook to check whether there are regulations restricting the sharing of commercially sensitive customer data.,Risk rating of customers to avoid sharing data involving high-risk customers.,AML compliance policies of the organization to ensure that customer data can be freely shared internally and internationally.,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
86,第四章.docx,165,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A relationship manager in a bank has had a private banking customer for 10 years. The customer has business accounts and investments and seeks advice on the creation of a company overseas. The relationship manager refers the customer to the commercial banking manager and vouches for the customer. Which of the following risk factors is the most important?,The proposed offshore jurisdiction is known for its strong privacy laws limiting access to customer information by law enforcement.,The customer does not want to provide more information than when the first account was opened.,"The company wants to transfer funds in large, even amounts.",Entities that are to receive funds from this company are located in the same country.,,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
87,第四章.docx,54,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which regulation regarding data privacy has to be considered while carrying out a financial crime investigation?,Securities Financing Transactions Regulation,General Data Protection Regulation,European Enforcement Order,Rome II Regulation,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
88,第四章.docx,55,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,One key aspect of promoting an enterprise-wide compliance culture within a financial institution (FI) is that the:,first line of defense should establish its own policies independently.,revenue generating business sectors should have precedence over compliance.,relevant information should be shared throughout the organization.,cost of compliance should increase proportionately to revenues.,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
89,第四章.docx,56,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What might limit a compliance officer's ability to respond to a foreign law enforcement official's request to provide information with regard to an anti-money laundering investigation?,Privacy and data protection laws in the compliance officer's country,Whether there is a mutual legal assistance treaty between the countries of the compliance officer and the law enforcement official,Whether the request has been processed by the foreign law enforcement official's embassy in the compliance officer's country,Anti-money laundering laws that require the confidential treatment of Suspicious Transaction Reports in the law enforcement official's country,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
90,第四章.docx,57,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which factor should a financial institution (FI) consider prior to sharing customer records within the same jurisdiction?,The availability of the institution's information sharing practices,The degree to which the collected client data is complete,The locally applicable restrictions regarding the disclosure of client information,The potential different time zones within the same jurisdiction,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
91,第四章.docx,58,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What principles should auditors follow when conducting anti money laundering investigations regarding the protection of privacy and data?,Privacy laws are not as important as local anti money laundering laws during the collection of evidence.,Countries should clarify the imbalance between anti money laundering and data protection privacy.,Terrorist financing is more meaningful in terms of data protection and has replaced the law.,Anti money laundering and data protection privacy laws should not be mutually exclusive.,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
92,第四章.docx,59,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Who has the ultimate responsibility within a bank for ensuring that the bank has a comprehensive and effective Bank Secrecy Act / anti-money laundering (BSA/AML) program and oversight framework that is reasonably designed to ensure compliance with applicable regulations?,Senior management,Board of directors,Business line managers,BSA/AML compliance officer,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
93,第四章.docx,60,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which statement about a multinational institution's ability to fully investigate unusual activity in all its foreign operations is correct?,Local privacy and data protection laws may prevent an affiliate from sharing information.,Certain account documents may be stored only in local language which will prohibit a global assessment.,The institution should consult with the customer and request permission to conduct a full investigation into all the accounts.,Enterprise-wide compliance oversight rules issued in the global institution's headquarters country will override any local limitations in other countries.,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
94,第四章.docx,61,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which factor should a bank consider before sharing information about a customer with its broker-dealer affiliate in the case of an investigation?,Whether the broker-dealer affiliate can rely on the due diligence done by the bank,Whether there is a mutual legal assistance treaty in place between the two institutions,Whether privacy and data protection rules permit the bank to share the information with the affiliate,Whether both institutions have an account or are in the process of opening an account for the customer,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
95,第四章.docx,62,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"When considering sharing information across the institution or within the same jurisdiction, what is the key legal issue that poses challenges to sharing customer-related information?",Data protection and privacy laws,Technological inconsistencies and challenges,Consumer protection laws,Conflicting AML/CFT regulations,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
96,第四章.docx,166,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"A financial institution is designing an enterprise-wide risk assessment (EWRA). Under the Wolfsberg Group's risk-based approach to AML, an effective EWRA should:",Use a framework provided by a third-party vendor and used by other FIs in the jurisdiction.,"Include appropriate measures and controls to mitigate money laundering risks stemming from higher-risk customers, products, and geographies.",Focus on understanding the risks presented by new clients within the assessment period and the controls to mitigate associated money laundering risks.,Focus on the inherent risk in the FI's product and service offerings and the controls to mitigate potential money laundering risks.,,,B,B,B,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
97,第四章.docx,63,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"The local manager of the remote mortgage department of a financial institution has just found out that there is no sanctions screening for new customers. In this case, what action should the local manager take?",Start screening new customers,Immediately notify the regulatory authorities,Inform senior management immediately.,"Because the department only handles a few mortgages, it does nothing.",,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
98,第三章.docx,29,高,已确认,A→A; B→B; C→C; D→D,经题干、全部选项及答案核对，与第三章第29题语义一致；属于可靠跨章节对应，选项顺序一致。,"When a financial institution (FI) receives a court production order from law enforcement, it should:",be responsive and provide pseudonymized customer information to make sure it's compliant with data privacy regulations.,"be responsive, provide customer information and be able to provide information from branches and subsidiaries if necessary.",raise this matter with the Data Protection Officer to ask for data exchange approval prior to sharing the customer's personal data with the law enforcement.,raise this matter with the Board to ask for data exchange approval and include corporate lawyers to make sure there is a legal basis for such exchange.,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
99,第四章.docx,64,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What is an essential element of Know Your Customer (KYC) standards according to the Basel Committee's Customer Due Diligence for Banks paper?,Annual staff training,A customer acceptance policy,The same KYC requirements must be applied in all cases,All completed KYC documents must be reviewed by a senior manager not involved in the account opening process,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
100,第四章.docx,203,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A credit institution has been served with a preliminary findings report highlighting major deviations from AML obligations in its country and stating that it faces the possibility of withdrawal of its banking license. Which authorities could have issued the report?,A banking sector self-regulatory body,Law enforcement authority,Financial Action Task Force (FATF),AML supervisory authority,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
101,第三章.docx,126,高,已确认,A→A; B→B; C→C; D→D,经题干、全部选项及答案核对，与第三章第126题语义一致；属于可靠跨章节对应，选项顺序一致。,Which of the following best describes the Basel Committee on Banking Supervision's principles on customer due diligence?,Multilateral agreement between all members.,A recommendation to members and banks.,Generally accepted terms issued by big international banks.,A country's initiative to increase the reputation of its financial market.,,,B,B,B,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
